image,name,author,original_category,new_category,fiction_nonfiction,isbn,img_paths,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7851/9780785137276.jpg,Wolverine: Wolverine: Origin Origin,Bill Jemas,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000805.jpg,,,,,,Row Labels,Count of isbn
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218053.jpg,The Essential Calvin and Hobbes,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000348.jpg,,,,,,"01 Graphic Novels, Anime-Manga, & Comics",991
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218220.jpg,The Authoritative Calvin and Hobbes,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000524.jpg,,,,,,"02 Transport, Travel, & Sport",1195
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751505092.jpg,Calvin And Hobbes Volume 2: One Day the Wind Will Change,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000533.jpg,,,,,,04 Food & Drink,956
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751505085.jpg,Calvin And Hobbes Volume 1 `A',Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000537.jpg,,,,,,"05 Home, Hobbies, & Crafts",1334
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836221367.jpg,It's a Magical World: a Calvin & Hobbes Collection,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000695.jpg,,,,,,06 Computing & Video Games,968
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218831.jpg,Attack of the Deranged Mutant Killer Monster Snow Goons,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000718.jpg,,,,,,07 Religion,948
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751505108.jpg,Calvin And Hobbes Volume 3: In the Shadow of the Night,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000734.jpg,,,,,,"08 Literature, Poetry, & Plays",968
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218527.jpg,Calvin and Hobbes Lazy Sunday,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000743.jpg,,,,,,09 Humor,718
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751512748.jpg,The Essential Calvin And Hobbes,Bill Watterson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000772.jpg,,,,,,10 Language & Reference,1107
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7821/9781782111139.jpg,The Philosophy of Snoopy,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000492.jpg,,,,,,11 Romance,863
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670311.jpg,The Complete Peanuts 1950-1952,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000501.jpg,,,,,,12 Biography,604
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670328.jpg,The Complete Peanuts 1953-1954,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000616.jpg,,,,,,13 History,575
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847678140.jpg,The Complete Peanuts 1963-1964,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000720.jpg,,,,,,14 Teen & Young Adult,816
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670762.jpg,The Complete Peanuts 1957-1958,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000728.jpg,,,,,,15 Sci-Fi & Fantasy,803
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847678157.jpg,The Complete Peanuts 1965-1966,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000740.jpg,,,,,,16 Children,510
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670755.jpg,The Complete Peanuts 1955-1956,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000748.jpg,,,,,,"17 Science, Psychology, & Self Help",1327
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847671493.jpg,The Complete Peanuts 1959-1960,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000857.jpg,,,,,,"18 Crime, Mystery, & Thriller",714
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847671509.jpg,The Complete Peanuts 1961-1962,Charles M. Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000876.jpg,,,,,,(blank),
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762438143.jpg,Snoopy & Woodstock: Best Friends,Charles Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000775.jpg,,,,,,Grand Total,15397
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762446155.jpg,A Charlie Brown Christmas Snow Globe,Charles Schulz,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000970.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836220629.jpg,The Far Side Gallery,Gary Larson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000498.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836220858.jpg,The Far Side Gallery: 2,Gary Larson,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000853.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345464651.jpg,Garfield Fat Cat 3-Pack Vol 2,Jim Davis,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000419.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345480880.jpg,Garfield Fat Cat 3-Pack,Jim Davis,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000592.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345491718.jpg,Garfield Fat Cat 3-Pack,Jim Davis,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000665.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3455/9780345525888.jpg,Garfield Fat Cat 3-Pack #7,Jim Davis,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000764.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3995/9780399594403.jpg,Garfield Fat Cat 3-Pack #18,Jim Davis,Humour,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Humour/0000807.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4215/9781421550060.jpg,Pokemon Adventures Red & Blue Box Set,Hidenori Kusaka,Teen-Young-Adult,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Teen-Young-Adult/0000432.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5254/9780525444466.jpg,Milne & Shepard : Now We are Six (Hbk),A A Milne,Graphic-Novels-Anime-Manga,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Graphic-Novels-Anime-Manga/0000792.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612629063.jpg,Noragami Volume 1,Adachitoka,Graphic-Novels-Anime-Manga,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Graphic-Novels-Anime-Manga/0000464.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612629070.jpg,Noragami Volume 2,Adachitoka,Graphic-Novels-Anime-Manga,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Graphic-Novels-Anime-Manga/0000761.jpg,,,,,,,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4012/9781401235444.jpg,Suicide Squad Vol. 1,Adam Glass,Graphic-Novels-Anime-Manga,"01 Graphic Novels, Anime-Manga, & Comics",Fiction,9.78E+12,dataset/Graphic-Novels-Anime-Manga/0000533.jpg,,,,,,,
