image,category
dataset/Humour/0000805.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000348.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000524.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000533.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000537.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000695.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000718.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000734.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000743.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000772.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000492.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000501.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000616.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000720.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000728.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000740.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000748.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000857.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000876.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000775.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000970.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000498.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000853.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000419.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000592.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000665.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000764.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Humour/0000807.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Teen-Young-Adult/0000432.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000792.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000464.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000761.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000533.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000611.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000968.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000983.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000399.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000571.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000629.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000638.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000648.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000700.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000980.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000610.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000372.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000470.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000485.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000510.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000546.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000569.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000579.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000721.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000848.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000936.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000985.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000922.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000021.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000032.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000047.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000198.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000254.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000309.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000377.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000846.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000851.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000559.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000669.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000028.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000269.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000501.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000013.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000019.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000066.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000264.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
dataset/Graphic-Novels-Anime-Manga/0000726.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
